username,edits
Music man214,128
167.99.105.132,0
James Crusade,3
72.48.201.232,0
Borinquen9312,58
Ninjoust,616
Alexb102072,10285
Krissmethod,353
BB Septure,498
Campista1891,293
Deciduous Maple,66
BT Curry,1035
Mynizzlefashizzle6458,1
BeautyIslam,7
207.157.127.33,0
StaplesLover,8
JohnW1992,17
Biglittlebang1,5
Hillbillyholiday,20570
Alfie Gandon,3240
Sleeping is fun,20103
Poopoohockashoo,4
DRodgers11,1005
RufusTheEditor,8
SSSSSSh,5
IsrabatTrof,87
WisconsinPat,525
The Almightey Drill,64516
The Wikipedia Messiah,22
TruckFump,18
UncleTomCarson,38
Connor Machiavelli,978
64.251.52.250,0
Tinywc111,225
Article editor,4866
Daquan Retard,1
RyanTQuinn,3255
145.102.242.29,0
Herve Reex,2116
Carlos Rojas77,12731
Gob Lofa,18321
KevinFrom,64
Olehal09,428
Verarsch,5
The Devil's Advocate,19695
Timothycrice,2973
Secret1234word,4
Louis69king,6
173.219.48.26,0
Yourgrandmalovesme,6
192.136.22.4,0
Windows66,617
DrCaffeine5000,8
Asdkjg,4
72.10.122.69,0
Rowdykiller,6
TomFreeman96,2
207.28.120.253,0
BallSinMouth666,2
216.169.169.60,0
Linchking123,4
Kevin1321xxxt,5
JohnC,1503
170.185.36.19,0
Rrrrr5,64
Jnast1,510
166.109.0.113,0
Chzz,115890
Tj1994jan,3
DASHBot,318263
Difluoroethene,8030
Ruckersville101,14
Fred the Oyster,4929
Hatred666,4
Duckingthefog,25
Nomegustapantalones,5
Shamhat456,172
166.113.0.98,0
Hank Ramsey,147
Horizons123,13
Madden NFL 21,67
"Davish Krail, Gold Five",585
205.123.251.62,0
SuaveArt,779
Roflcopter6996111,3
Badmachine,3808
Cdm1991,8
Michael93555,4103
ScHoOlThAtFoOl,4
Husseinnoterrorist,1
Erik9,30314
SOS48,38
EveryDayJoe45,4246
Fulanoflagger,8
198.237.70.194,0
Friscogomez,20
Taurusx5,52
Werdnawerdna,3588
Nukeless,2963
Ooojazzaooo,52
Emex4,65
Thegoodson,2034
Lishowronsakura,151
Jeremy221,816
AryeitskiySaldat,158
Rennagata92,27
Type 40,1248
Andrew Steller,179
Aestheticguitar,17
Callmarcus,3870
John254,42562
Centrx,37287
EamonnPKeane,22498
204.13.204.162,0
207.233.27.2,0
New Jack Swing,259
141.76.45.35,0
Grazon,3726
Hans Moravec,55
Willywingwangdoodle,2
Potters house,1284
Falconleaf,2074
Shimmera,5094
Qrc2006,7759
Jerry Jones,1393
Minutemaid~enwiki,4
209.43.33.220,0
165.138.19.8,0
221.133.205.155,0
Bluebot,349597
Ud terrorist,1292
DannyZz,135
RickK,36836
Megan1967,11849
166.109.0.145,0
Conversion script,10